<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;share_price;<VOL>
PLZL;D;20190709;0;6190.0000000;6259.5000000;6174.0000000;6209.0000000;92239
PLZL;D;20190710;0;6265.0000000;6357.5000000;6150.5000000;6293.0000000;141847
PLZL;D;20190711;0;6337.0000000;6361.5000000;6165.0000000;6225.0000000;128763
PLZL;D;20190712;0;6250.0000000;6400.0000000;6132.5000000;6316.0000000;170671
PLZL;D;20190715;0;6325.0000000;6343.0000000;6258.0000000;6300.0000000;56647
PLZL;D;20190716;0;6299.5000000;6397.0000000;6287.5000000;6371.5000000;52996
PLZL;D;20190717;0;6355.0000000;6398.0000000;6308.0000000;6385.0000000;47018
PLZL;D;20190718;0;6393.0000000;6430.0000000;6333.5000000;6413.0000000;39060
PLZL;D;20190719;0;6436.0000000;6499.5000000;6413.0000000;6472.0000000;62988
PLZL;D;20190722;0;6522.0000000;6550.0000000;6450.5000000;6476.0000000;87322
PLZL;D;20190723;0;6446.5000000;6451.5000000;6201.0000000;6400.0000000;119150
PLZL;D;20190724;0;6400.0000000;6427.0000000;6315.5000000;6416.0000000;56176
PLZL;D;20190725;0;6412.5000000;6490.0000000;6362.5000000;6490.0000000;63736
PLZL;D;20190726;0;6485.0000000;6495.0000000;6341.5000000;6412.5000000;72980
PLZL;D;20190729;0;6411.5000000;6485.0000000;6380.0000000;6467.5000000;28479
PLZL;D;20190730;0;6486.0000000;6501.0000000;6451.5000000;6500.0000000;30543
PLZL;D;20190731;0;6499.0000000;6500.0000000;6460.0000000;6460.0000000;54089
PLZL;D;20190801;0;6433.0000000;6465.5000000;6374.5000000;6431.0000000;55509
PLZL;D;20190802;0;6440.5000000;6582.0000000;6436.5000000;6510.0000000;119898
PLZL;D;20190805;0;6559.0000000;6890.0000000;6547.5000000;6844.5000000;211856
PLZL;D;20190806;0;6900.0000000;6986.5000000;6782.0000000;6791.5000000;184045
PLZL;D;20190807;0;6840.0000000;6979.5000000;6827.5000000;6944.0000000;113269
PLZL;D;20190808;0;6949.0000000;6967.0000000;6880.5000000;6897.5000000;79885
PLZL;D;20190809;0;6932.5000000;7035.5000000;6911.5000000;7010.0000000;119672
PLZL;D;20190812;0;7009.5000000;7116.5000000;6971.5000000;7090.0000000;131723
PLZL;D;20190813;0;7187.5000000;7199.5000000;6886.0000000;7024.0000000;237621
PLZL;D;20190814;0;6958.5000000;7249.0000000;6951.5000000;7194.0000000;146728
PLZL;D;20190815;0;7222.0000000;7300.0000000;7161.0000000;7254.0000000;143316
PLZL;D;20190816;0;7254.0000000;7265.0000000;7093.5000000;7130.0000000;174939
PLZL;D;20190819;0;7130.0000000;7250.0000000;7068.0000000;7200.0000000;222340
PLZL;D;20190820;0;7218.5000000;7350.0000000;7218.0000000;7314.0000000;168202
PLZL;D;20190821;0;7340.0000000;7340.5000000;7188.5000000;7244.0000000;146518
PLZL;D;20190822;0;7260.0000000;7270.0000000;7100.0000000;7236.0000000;196441
PLZL;D;20190823;0;7252.0000000;7308.0000000;7181.5000000;7280.0000000;130034
PLZL;D;20190826;0;7330.0000000;7490.0000000;7314.5000000;7485.0000000;153102
PLZL;D;20190827;0;7480.0000000;7623.5000000;7452.0000000;7574.0000000;235976
PLZL;D;20190828;0;7574.5000000;7578.5000000;7443.0000000;7510.0000000;105245
PLZL;D;20190829;0;7535.0000000;7600.0000000;7508.5000000;7524.0000000;106027
PLZL;D;20190830;0;7511.0000000;7665.0000000;7464.5000000;7665.0000000;176906
PLZL;D;20190902;0;7670.0000000;7672.0000000;7550.5000000;7600.0000000;67365
PLZL;D;20190903;0;7599.5000000;7647.0000000;7551.0000000;7618.5000000;61349
PLZL;D;20190904;0;7630.0000000;7638.5000000;7506.5000000;7573.5000000;137430
PLZL;D;20190905;0;7594.5000000;7600.0000000;7352.5000000;7400.0000000;134417
PLZL;D;20190906;0;7372.0000000;7525.0000000;6527.0000000;7470.0000000;231863
PLZL;D;20190909;0;7469.0000000;7480.0000000;7279.5000000;7383.0000000;96340
PLZL;D;20190910;0;7340.0000000;7370.0000000;7258.0000000;7301.0000000;117954
PLZL;D;20190911;0;7287.0000000;7448.0000000;7216.5000000;7440.0000000;144615
PLZL;D;20190912;0;7436.0000000;7507.5000000;7380.0000000;7500.0000000;93329
PLZL;D;20190913;0;7507.5000000;7622.0000000;7400.0000000;7457.5000000;101424
PLZL;D;20190916;0;7454.0000000;7809.0000000;7434.5000000;7636.0000000;132759
PLZL;D;20190917;0;7636.0000000;7750.0000000;7582.0000000;7734.0000000;86854
PLZL;D;20190918;0;7768.0000000;7800.0000000;7720.5000000;7784.5000000;102804
PLZL;D;20190919;0;7756.5000000;7768.5000000;7702.5000000;7731.0000000;63778
PLZL;D;20190920;0;7733.5000000;7799.0000000;7661.0000000;7770.0000000;83497
PLZL;D;20190923;0;7770.0000000;7790.5000000;7593.0000000;7640.0000000;91864
PLZL;D;20190924;0;7656.5000000;7737.0000000;7647.5000000;7720.5000000;57078
PLZL;D;20190925;0;7727.0000000;7833.0000000;7718.0000000;7778.5000000;74419
PLZL;D;20190926;0;7779.0000000;7790.0000000;7684.0000000;7775.0000000;60477
PLZL;D;20190927;0;7773.0000000;7792.5000000;7500.0000000;7561.5000000;114109
PLZL;D;20190930;0;7600.0000000;7643.0000000;7426.5000000;7545.0000000;100963
PLZL;D;20191001;0;7502.5000000;7581.0000000;7412.5000000;7549.0000000;94915
PLZL;D;20191002;0;7544.5000000;7594.0000000;7451.0000000;7452.0000000;60494
PLZL;D;20191003;0;7500.0000000;7538.5000000;7421.0000000;7477.5000000;31393
PLZL;D;20191004;0;7503.5000000;7570.0000000;7462.5000000;7525.0000000;37397
PLZL;D;20191007;0;7538.0000000;7564.0000000;7473.0000000;7515.0000000;37063
PLZL;D;20191008;0;7499.5000000;7739.0000000;7483.5000000;7680.0000000;96251
PLZL;D;20191009;0;7541.5000000;7631.0000000;7540.0000000;7575.5000000;76804
PLZL;D;20191010;0;7585.0000000;7585.0000000;7482.5000000;7530.5000000;42624
PLZL;D;20191011;0;7510.0000000;7511.0000000;7224.0000000;7260.0000000;122591
PLZL;D;20191014;0;7300.0000000;7317.5000000;7116.0000000;7159.0000000;85370
PLZL;D;20191015;0;7160.0000000;7300.0000000;7026.0000000;7111.0000000;105588
PLZL;D;20191016;0;7110.0000000;7331.0000000;7097.5000000;7286.5000000;67626
PLZL;D;20191017;0;7287.5000000;7344.5000000;7100.0000000;7210.0000000;94925
PLZL;D;20191018;0;7210.5000000;7400.0000000;7171.0000000;7400.0000000;53862
PLZL;D;20191021;0;7374.0000000;7409.0000000;7156.0000000;7213.0000000;97188
PLZL;D;20191022;0;7214.0000000;7289.0000000;7086.0000000;7130.0000000;100639
PLZL;D;20191023;0;7159.5000000;7230.0000000;7112.0000000;7160.0000000;75067
PLZL;D;20191024;0;7150.5000000;7300.0000000;7118.0000000;7276.5000000;69359
PLZL;D;20191025;0;7294.0000000;7304.5000000;7164.0000000;7259.0000000;53724
PLZL;D;20191028;0;7214.5000000;7493.5000000;7214.5000000;7301.0000000;98235
PLZL;D;20191029;0;7300.0000000;7398.5000000;7246.5000000;7297.0000000;72653
PLZL;D;20191030;0;7305.5000000;7354.0000000;7170.0000000;7354.0000000;80881
PLZL;D;20191031;0;7362.5000000;7641.5000000;7346.5000000;7469.0000000;206041
PLZL;D;20191101;0;7470.0000000;7621.0000000;7400.0000000;7400.0000000;133685
PLZL;D;20191105;0;7451.0000000;7568.0000000;7325.0000000;7377.0000000;180308
PLZL;D;20191106;0;7363.0000000;7616.0000000;7363.0000000;7616.0000000;185389
PLZL;D;20191107;0;7599.5000000;7616.5000000;7402.0000000;7415.0000000;119187
PLZL;D;20191108;0;7345.5000000;7417.5000000;7140.0000000;7195.0000000;163914
PLZL;D;20191111;0;7197.0000000;7319.0000000;7158.0000000;7185.0000000;72523
PLZL;D;20191112;0;7180.0000000;7210.0000000;7003.5000000;7047.5000000;130772
PLZL;D;20191113;0;7068.0000000;7169.5000000;7060.0000000;7137.0000000;85419
PLZL;D;20191114;0;7148.0000000;7170.0000000;7040.0000000;7093.0000000;124357
PLZL;D;20191115;0;7056.5000000;7100.0000000;7005.0000000;7084.0000000;73784
PLZL;D;20191118;0;7078.5000000;7078.5000000;6930.0000000;7052.5000000;114015
PLZL;D;20191119;0;7052.0000000;7060.0000000;6957.0000000;6983.5000000;75767
PLZL;D;20191120;0;6986.0000000;7135.0000000;6986.0000000;7040.5000000;94295
PLZL;D;20191121;0;7022.0000000;7049.0000000;6814.5000000;6832.0000000;133474
PLZL;D;20191122;0;6870.0000000;6927.5000000;6835.5000000;6927.5000000;79962
PLZL;D;20191125;0;6900.5000000;6925.0000000;6780.0000000;6792.0000000;96778
PLZL;D;20191126;0;6780.5000000;6790.0000000;6666.0000000;6728.5000000;378774
PLZL;D;20191127;0;6705.0000000;6875.5000000;6703.5000000;6822.0000000;111084
PLZL;D;20191128;0;6783.0000000;6899.0000000;6770.5000000;6840.5000000;63043
PLZL;D;20191129;0;6830.0000000;6895.0000000;6821.5000000;6891.0000000;66026
PLZL;D;20191202;0;6882.0000000;6949.5000000;6874.5000000;6885.0000000;53217
PLZL;D;20191203;0;6870.0000000;7015.0000000;6828.0000000;6996.0000000;139272
PLZL;D;20191204;0;7000.5000000;7047.5000000;6933.5000000;6933.5000000;94435
PLZL;D;20191205;0;6944.5000000;6990.0000000;6833.0000000;6894.0000000;88364
PLZL;D;20191206;0;6890.0000000;6945.5000000;6725.0000000;6758.0000000;129581
PLZL;D;20191209;0;6765.0000000;6822.5000000;6720.0000000;6792.0000000;52834
PLZL;D;20191210;0;6792.0000000;6852.0000000;6740.5000000;6842.5000000;66862
PLZL;D;20191211;0;6838.0000000;7189.5000000;6796.0000000;7142.5000000;168114
PLZL;D;20191212;0;7159.5000000;7265.0000000;7080.0000000;7095.0000000;127168
PLZL;D;20191213;0;7035.5000000;7128.0000000;6957.5000000;6987.0000000;115878
PLZL;D;20191216;0;7002.0000000;7065.0000000;6986.5000000;7000.0000000;45064
PLZL;D;20191217;0;7024.5000000;7070.0000000;6866.0000000;6941.0000000;122998
PLZL;D;20191218;0;6932.0000000;6980.5000000;6889.5000000;6959.0000000;118338
PLZL;D;20191219;0;6963.0000000;6974.0000000;6850.0000000;6855.0000000;95895
PLZL;D;20191220;0;6870.0000000;6907.5000000;6771.5000000;6771.5000000;62741
PLZL;D;20191223;0;6796.5000000;6941.5000000;6780.5000000;6868.0000000;71509
PLZL;D;20191224;0;6900.0000000;6967.5000000;6892.0000000;6940.5000000;44340
PLZL;D;20191225;0;6970.0000000;6989.0000000;6937.0000000;6976.5000000;17842
PLZL;D;20191226;0;6987.0000000;7140.0000000;6965.0000000;7140.0000000;56664
PLZL;D;20191227;0;7111.0000000;7175.0000000;7101.0000000;7145.0000000;61269
PLZL;D;20191230;0;7145.0000000;7170.0000000;7025.0000000;7103.5000000;68173
PLZL;D;20200103;0;7177.0000000;7286.0000000;7157.5000000;7286.0000000;122107
PLZL;D;20200106;0;7370.5000000;7525.0000000;7359.5000000;7421.5000000;139445
PLZL;D;20200108;0;7530.0000000;7600.0000000;7456.5000000;7468.0000000;121353
PLZL;D;20200109;0;7434.5000000;7435.0000000;7240.0000000;7326.0000000;104241
PLZL;D;20200110;0;7326.0000000;7326.0000000;7185.0000000;7220.0000000;81808
PLZL;D;20200113;0;7195.0000000;7357.5000000;7162.0000000;7357.5000000;91459
PLZL;D;20200114;0;7328.5000000;7484.0000000;7275.0000000;7391.0000000;113449
PLZL;D;20200115;0;7409.0000000;7435.0000000;7321.0000000;7421.5000000;93669
PLZL;D;20200116;0;7421.5000000;7462.0000000;7335.0000000;7379.0000000;87310
PLZL;D;20200117;0;7378.0000000;7452.5000000;7352.5000000;7360.0000000;85033
PLZL;D;20200120;0;7371.0000000;7400.0000000;7354.0000000;7385.0000000;48118
PLZL;D;20200121;0;7420.0000000;7475.0000000;7302.0000000;7374.5000000;88445
